month_start,year,month,year_month,state,fatalities
1989-01-01,1989,1,1989-01,ACT,2
1989-01-01,1989,1,1989-01,NSW,55
1989-01-01,1989,1,1989-01,NT,2
1989-01-01,1989,1,1989-01,QLD,27
1989-01-01,1989,1,1989-01,SA,27
1989-01-01,1989,1,1989-01,TAS,14
1989-01-01,1989,1,1989-01,VIC,76
1989-01-01,1989,1,1989-01,WA,25
1989-02-01,1989,2,1989-02,ACT,2
1989-02-01,1989,2,1989-02,NSW,82
1989-02-01,1989,2,1989-02,NT,2
1989-02-01,1989,2,1989-02,QLD,27
1989-02-01,1989,2,1989-02,SA,14
1989-02-01,1989,2,1989-02,TAS,7
1989-02-01,1989,2,1989-02,VIC,65
1989-02-01,1989,2,1989-02,WA,12
1989-03-01,1989,3,1989-03,ACT,3
1989-03-01,1989,3,1989-03,NSW,82
1989-03-01,1989,3,1989-03,NT,3
1989-03-01,1989,3,1989-03,QLD,42
1989-03-01,1989,3,1989-03,SA,18
1989-03-01,1989,3,1989-03,TAS,8
1989-03-01,1989,3,1989-03,VIC,80
1989-03-01,1989,3,1989-03,WA,20
1989-04-01,1989,4,1989-04,ACT,8
1989-04-01,1989,4,1989-04,NSW,45
1989-04-01,1989,4,1989-04,NT,10
1989-04-01,1989,4,1989-04,QLD,24
1989-04-01,1989,4,1989-04,SA,23
1989-04-01,1989,4,1989-04,TAS,5
1989-04-01,1989,4,1989-04,VIC,59
1989-04-01,1989,4,1989-04,WA,14
1989-05-01,1989,5,1989-05,NSW,77
1989-05-01,1989,5,1989-05,NT,4
1989-05-01,1989,5,1989-05,QLD,31
1989-05-01,1989,5,1989-05,SA,12
1989-05-01,1989,5,1989-05,TAS,7
1989-05-01,1989,5,1989-05,VIC,67
1989-05-01,1989,5,1989-05,WA,15
1989-06-01,1989,6,1989-06,ACT,2
1989-06-01,1989,6,1989-06,NSW,97
1989-06-01,1989,6,1989-06,NT,7
1989-06-01,1989,6,1989-06,QLD,28
1989-06-01,1989,6,1989-06,SA,19
1989-06-01,1989,6,1989-06,TAS,10
1989-06-01,1989,6,1989-06,VIC,73
1989-06-01,1989,6,1989-06,WA,21
1989-07-01,1989,7,1989-07,ACT,1
1989-07-01,1989,7,1989-07,NSW,75
1989-07-01,1989,7,1989-07,NT,7
1989-07-01,1989,7,1989-07,QLD,42
1989-07-01,1989,7,1989-07,SA,9
1989-07-01,1989,7,1989-07,TAS,6
1989-07-01,1989,7,1989-07,VIC,52
1989-07-01,1989,7,1989-07,WA,22
1989-08-01,1989,8,1989-08,ACT,2
1989-08-01,1989,8,1989-08,NSW,64
1989-08-01,1989,8,1989-08,NT,4
1989-08-01,1989,8,1989-08,QLD,32
1989-08-01,1989,8,1989-08,SA,15
1989-08-01,1989,8,1989-08,TAS,7
1989-08-01,1989,8,1989-08,VIC,65
1989-08-01,1989,8,1989-08,WA,22
1989-09-01,1989,9,1989-09,ACT,5
1989-09-01,1989,9,1989-09,NSW,93
1989-09-01,1989,9,1989-09,NT,4
1989-09-01,1989,9,1989-09,QLD,36
1989-09-01,1989,9,1989-09,SA,20
1989-09-01,1989,9,1989-09,TAS,6
1989-09-01,1989,9,1989-09,VIC,82
1989-09-01,1989,9,1989-09,WA,23
1989-10-01,1989,10,1989-10,ACT,2
1989-10-01,1989,10,1989-10,NSW,96
1989-10-01,1989,10,1989-10,NT,4
1989-10-01,1989,10,1989-10,QLD,41
1989-10-01,1989,10,1989-10,SA,26
1989-10-01,1989,10,1989-10,TAS,1
1989-10-01,1989,10,1989-10,VIC,50
1989-10-01,1989,10,1989-10,WA,21
1989-11-01,1989,11,1989-11,ACT,2
1989-11-01,1989,11,1989-11,NSW,69
1989-11-01,1989,11,1989-11,NT,6
1989-11-01,1989,11,1989-11,QLD,51
1989-11-01,1989,11,1989-11,SA,14
1989-11-01,1989,11,1989-11,TAS,5
1989-11-01,1989,11,1989-11,VIC,41
1989-11-01,1989,11,1989-11,WA,17
