state,city,year,month,year_month,avg_temp_mean,max_temp,min_temp,total_precipitation_mm,total_rain_mm,max_wind_speed_kmh,rainy_days,rain_context,heat_context,wind_context
ACT,Canberra,2024,1,2024-01,19.71935483870968,30.2,10.6,105.0,105.0,26.9,20,High rain,30-35C,Low wind
ACT,Canberra,2024,2,2024-02,19.841379310344827,31.6,9.8,51.4,51.4,23.0,13,High rain,30-35C,Low wind
ACT,Canberra,2024,3,2024-03,18.0,32.2,5.7,22.0,22.0,27.7,10,Moderate rain,30-35C,Low wind
ACT,Canberra,2024,4,2024-04,12.246666666666666,26.0,2.8,54.0,54.0,28.3,11,High rain,Below 30C,Low wind
ACT,Canberra,2024,5,2024-05,9.174193548387096,16.8,-1.6,45.1,45.1,28.3,12,Moderate rain,Below 30C,Low wind
ACT,Canberra,2024,6,2024-06,5.510000000000001,15.4,-3.7,50.4,50.4,25.0,15,High rain,Below 30C,Low wind
ACT,Canberra,2024,7,2024-07,5.535483870967742,14.9,-3.6,44.0,43.9,31.0,15,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2024,8,2024-08,8.319354838709677,19.0,-2.0,25.2,25.2,35.2,16,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2024,9,2024-09,10.116666666666667,22.1,-2.8,26.0,26.0,38.4,8,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2024,10,2024-10,13.35483870967742,25.6,1.9,26.3,26.3,35.3,8,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2024,11,2024-11,18.790000000000003,31.2,7.3,87.9,87.9,31.0,16,High rain,30-35C,Moderate wind
ACT,Canberra,2024,12,2024-12,20.493548387096773,33.5,8.1,59.8,59.8,25.7,14,High rain,30-35C,Low wind
ACT,Canberra,2025,1,2025-01,20.10967741935484,33.7,9.6,49.0,49.0,27.6,17,Moderate rain,30-35C,Low wind
ACT,Canberra,2025,2,2025-02,20.135714285714283,32.6,6.6,52.2,52.2,22.9,12,High rain,30-35C,Low wind
ACT,Canberra,2025,3,2025-03,19.42258064516129,32.2,7.2,31.4,31.4,32.9,15,Moderate rain,30-35C,Moderate wind
ACT,Canberra,2025,4,2025-04,14.4,24.7,3.7,18.1,18.1,23.8,10,Moderate rain,Below 30C,Low wind
ACT,Canberra,2025,5,2025-05,10.158064516129032,20.2,-0.2,73.69999999999999,73.69999999999999,27.6,13,High rain,Below 30C,Low wind
ACT,Canberra,2025,6,2025-06,3.966666666666667,13.9,-4.8,45.6,42.1,28.5,9,Moderate rain,Below 30C,Low wind
ACT,Canberra,2025,7,2025-07,5.864516129032259,14.8,-3.0,94.2,94.1,31.9,17,High rain,Below 30C,Moderate wind
ACT,Canberra,2025,8,2025-08,7.483870967741935,17.9,-1.4,47.2,45.0,32.8,14,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2025,9,2025-09,9.903333333333334,21.6,-0.7,40.0,40.0,30.7,10,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2025,10,2025-10,13.78064516129032,28.8,2.2,26.9,26.5,30.3,10,Moderate rain,Below 30C,Moderate wind
ACT,Canberra,2025,11,2025-11,15.453333333333337,29.0,0.3,71.5,71.1,39.1,19,High rain,Below 30C,Moderate wind
ACT,Canberra,2025,12,2025-12,18.76451612903226,35.2,3.4,45.8,45.8,30.8,12,Moderate rain,35-40C,Moderate wind
ACT,Canberra,2026,1,2026-01,21.11290322580645,39.6,8.4,31.8,31.8,30.8,11,Moderate rain,35-40C,Moderate wind
NSW,Sydney,2024,1,2024-01,23.096774193548388,36.6,16.4,117.9,117.9,37.1,25,High rain,35-40C,Moderate wind
NSW,Sydney,2024,2,2024-02,22.78965517241379,34.9,15.8,82.3,82.3,35.0,24,High rain,30-35C,Moderate wind
NSW,Sydney,2024,3,2024-03,21.225806451612904,31.0,13.1,58.9,58.9,37.0,20,High rain,30-35C,Moderate wind
NSW,Sydney,2024,4,2024-04,17.59333333333333,27.2,10.9,160.4,160.4,39.5,19,Extreme rain,Below 30C,Moderate wind
NSW,Sydney,2024,5,2024-05,14.603225806451611,22.0,6.7,159.7,159.7,38.1,20,Extreme rain,Below 30C,Moderate wind
NSW,Sydney,2024,6,2024-06,11.523333333333332,19.4,2.4,139.8,139.8,31.3,14,High rain,Below 30C,Moderate wind
NSW,Sydney,2024,7,2024-07,11.82258064516129,22.2,4.4,38.4,38.4,36.2,15,Moderate rain,Below 30C,Moderate wind
NSW,Sydney,2024,8,2024-08,14.37741935483871,29.1,4.3,35.8,35.8,39.4,18,Moderate rain,Below 30C,Moderate wind
NSW,Sydney,2024,9,2024-09,16.316666666666666,29.4,5.1,59.8,59.8,41.8,9,High rain,Below 30C,Moderate wind
NSW,Sydney,2024,10,2024-10,17.03548387096774,28.3,8.2,41.2,41.2,34.5,18,Moderate rain,Below 30C,Moderate wind
NSW,Sydney,2024,11,2024-11,21.09,36.2,14.5,120.8,120.8,33.4,25,High rain,35-40C,Moderate wind
NSW,Sydney,2024,12,2024-12,22.712903225806453,35.3,15.6,53.1,53.1,31.4,19,High rain,35-40C,Moderate wind
NSW,Sydney,2025,1,2025-01,22.01290322580645,36.8,14.8,188.5,188.5,44.4,23,Extreme rain,35-40C,Moderate wind
NSW,Sydney,2025,2,2025-02,22.62142857142857,32.7,13.8,66.2,66.2,30.1,19,High rain,30-35C,Moderate wind
NSW,Sydney,2025,3,2025-03,22.361290322580647,37.5,16.0,113.0,113.0,33.0,22,High rain,35-40C,Moderate wind
NSW,Sydney,2025,4,2025-04,19.03333333333333,28.0,13.1,100.4,100.4,26.3,20,High rain,Below 30C,Low wind
NSW,Sydney,2025,5,2025-05,15.983870967741936,25.5,8.2,195.3,195.3,31.9,24,Extreme rain,Below 30C,Moderate wind
NSW,Sydney,2025,6,2025-06,11.526666666666667,20.6,3.9,15.9,15.9,33.4,7,Moderate rain,Below 30C,Moderate wind
NSW,Sydney,2025,7,2025-07,12.064516129032258,20.6,3.9,124.6,124.6,39.4,12,High rain,Below 30C,Moderate wind
NSW,Sydney,2025,8,2025-08,13.058064516129033,21.1,5.9,233.1,233.1,31.5,24,Extreme rain,Below 30C,Moderate wind
NSW,Sydney,2025,9,2025-09,16.633333333333333,31.6,8.1,78.6,78.6,33.5,11,High rain,30-35C,Moderate wind
NSW,Sydney,2025,10,2025-10,20.05806451612903,38.2,11.9,31.5,31.5,35.0,13,Moderate rain,35-40C,Moderate wind
NSW,Sydney,2025,11,2025-11,20.78,35.0,10.4,47.8,47.8,34.0,19,Moderate rain,30-35C,Moderate wind
NSW,Sydney,2025,12,2025-12,21.77741935483871,39.0,13.2,67.9,67.9,35.9,21,High rain,35-40C,Moderate wind
NSW,Sydney,2026,1,2026-01,22.293548387096774,42.0,15.8,153.1,153.1,31.5,19,Extreme rain,40C+,Moderate wind
NT,Darwin,2024,1,2024-01,27.951612903225808,33.2,24.6,750.3,750.3,44.3,31,Extreme rain,30-35C,Moderate wind
NT,Darwin,2024,2,2024-02,28.403448275862072,32.2,24.3,275.4,275.4,30.4,29,Extreme rain,30-35C,Moderate wind
NT,Darwin,2024,3,2024-03,27.93548387096774,31.5,24.6,355.5,355.5,34.6,30,Extreme rain,30-35C,Moderate wind
NT,Darwin,2024,4,2024-04,28.37333333333333,33.6,23.6,37.900000000000006,37.900000000000006,26.0,13,Moderate rain,30-35C,Low wind
NT,Darwin,2024,5,2024-05,28.067741935483877,34.1,21.3,4.3,4.3,25.5,6,Low rain,30-35C,Low wind
NT,Darwin,2024,6,2024-06,25.063333333333333,32.8,17.7,0.1,0.1,24.6,1,Low rain,30-35C,Low wind
NT,Darwin,2024,7,2024-07,24.95483870967742,31.8,16.9,4.3,4.3,27.7,7,Low rain,30-35C,Low wind
NT,Darwin,2024,8,2024-08,26.212903225806453,33.1,20.4,3.4,3.4,28.8,6,Low rain,30-35C,Low wind
NT,Darwin,2024,9,2024-09,27.996666666666663,34.6,22.6,35.6,35.6,30.2,21,Moderate rain,30-35C,Moderate wind
NT,Darwin,2024,10,2024-10,29.038709677419355,34.6,24.0,95.2,95.2,30.0,26,High rain,30-35C,Low wind
